degradation,severity,self_R@1,cat_R@1,self_R@5,cat_R@5,self_R@10,cat_R@10
blur,1,0.998842401190673,1.0,1.0,1.0,1.0,1.0
blur,2,0.9978501736398214,0.9998346287415247,1.0,1.0,1.0,1.0
blur,3,0.9905738382669093,0.9993385149660989,0.998180916156772,1.0,0.9996692574830495,1.0
blur,4,0.9536960476269224,0.9960310897965934,0.985116586737225,0.9995038862245742,0.9900777244914833,1.0
blur,5,0.7812138250372085,0.9920621795931867,0.9012733586902596,0.998180916156772,0.9379857780717711,1.0
jpeg,1,0.9986770299321978,1.0,1.0,1.0,1.0,1.0
jpeg,2,0.9985116586737225,0.9998346287415247,1.0,1.0,1.0,1.0
jpeg,3,0.9983462874152472,0.9998346287415247,1.0,1.0,1.0,1.0
jpeg,4,0.9971886886059202,1.0,0.9996692574830495,1.0,0.9998346287415247,1.0
jpeg,5,0.9957003472796429,0.9998346287415247,0.9995038862245742,1.0,0.9998346287415247,1.0
noise,1,0.7008433934182239,0.9912353233008103,0.8182569869356706,0.9986770299321978,0.8635687117578965,0.9993385149660989
noise,2,0.7041508185877294,0.9910699520423351,0.8184223581941459,0.9986770299321978,0.8624111129485695,0.9993385149660989
noise,3,0.7059699024309575,0.9918968083347114,0.8222258971390772,0.998842401190673,0.8627418554655201,0.9995038862245742
noise,4,0.7018356209690756,0.9902430957499586,0.8166032743509178,0.9986770299321978,0.8607574003638168,0.9995038862245742
noise,5,0.6998511658673723,0.9920621795931867,0.8217297833636514,0.9985116586737225,0.8648916818256986,0.9993385149660989
downres,1,0.998842401190673,1.0,1.0,1.0,1.0,1.0
downres,2,0.9986770299321978,0.9998346287415247,1.0,1.0,1.0,1.0
downres,3,0.9986770299321978,1.0,1.0,1.0,1.0,1.0
downres,4,0.9947081197287911,0.9996692574830495,0.9993385149660989,1.0,0.9996692574830495,1.0
downres,5,0.9778402513643129,0.9985116586737225,0.9935505209194642,1.0,0.9973540598643955,1.0
illum,1,0.9902430957499586,0.9996692574830495,0.9971886886059202,1.0,0.9983462874152472,1.0
illum,2,0.9207871671903424,0.9961964610550686,0.9639490656523896,0.9998346287415247,0.9761865387795601,1.0
illum,3,0.7188688605920291,0.9768480238134613,0.825037208533157,0.9918968083347114,0.8589383165205887,0.9968579460889697
illum,4,0.4340995534976021,0.9338514966098892,0.552836117082851,0.963618323135439,0.6024474946254341,0.9718868860592029
illum,5,0.2063833305771457,0.8123036216305606,0.2746816603274351,0.8771291549528691,0.31404001984455104,0.9090458078385977
skew,1,0.7024971060029767,0.9978501736398214,0.8075078551347776,1.0,0.8437241607408632,1.0
skew,2,0.5662311890193484,0.9900777244914833,0.6973705969902431,0.9965272035720192,0.7547544236811642,0.9991731437076237
skew,3,0.46684306267570697,0.9811476765338184,0.5726806680998843,0.9918968083347114,0.6224574169009426,0.9958657185381181
skew,4,0.3722507028278485,0.9401356044319498,0.45510170332396227,0.9761865387795601,0.4967752604597321,0.9842897304448487
skew,5,0.2836117082851001,0.8321481726475939,0.347445014056557,0.9106995204233505,0.3780386968744832,0.9374896642963453
