degradation,severity,self_R@1,cat_R@1,self_R@5,cat_R@5,self_R@10,cat_R@10
blur,1,0.9985116586737225,0.9998346287415247,1.0,1.0,1.0,1.0
blur,2,0.9983462874152472,0.9998346287415247,1.0,1.0,1.0,1.0
blur,3,0.9966925748304944,0.9998346287415247,1.0,1.0,1.0,1.0
blur,4,0.9694063171820737,0.9995038862245742,0.9918968083347114,0.9998346287415247,0.9955349760211675,0.9998346287415247
blur,5,0.8572846039358359,0.997023317347445,0.9345129816437903,0.9998346287415247,0.9583264428642302,0.9998346287415247
jpeg,1,0.9986770299321978,1.0,1.0,1.0,1.0,1.0
jpeg,2,0.998842401190673,1.0,1.0,1.0,1.0,1.0
jpeg,3,0.9985116586737225,1.0,1.0,1.0,1.0,1.0
jpeg,4,0.9986770299321978,1.0,1.0,1.0,1.0,1.0
jpeg,5,0.9960310897965934,0.9998346287415247,0.9996692574830495,1.0,0.9998346287415247,1.0
noise,1,0.5624276500744171,0.9811476765338184,0.6672730279477427,0.9986770299321978,0.7178766330411774,0.9996692574830495
noise,2,0.5632545063667934,0.9836282454109476,0.6672730279477427,0.9968579460889697,0.7234992558293368,0.9996692574830495
noise,3,0.5629237638498429,0.9823052753431454,0.6690921117909707,0.9975194311228709,0.7286257648420704,0.9995038862245742
noise,4,0.5682156441210517,0.9804861914999173,0.6700843393418224,0.9975194311228709,0.7271374235157929,0.9993385149660989
noise,5,0.5659004465023979,0.9831321316355217,0.6661154291384157,0.9976848023813462,0.7246568546386638,0.9993385149660989
downres,1,0.9986770299321978,1.0,1.0,1.0,1.0,1.0
downres,2,0.9986770299321978,0.9998346287415247,1.0,1.0,1.0,1.0
downres,3,0.9985116586737225,0.9998346287415247,1.0,1.0,1.0,1.0
downres,4,0.9968579460889697,0.9996692574830495,0.9998346287415247,1.0,0.9998346287415247,1.0
downres,5,0.9391433768810981,0.9990077724491483,0.9818091615677196,1.0,0.9910699520423351,1.0
illum,1,0.9884240119067306,0.9991731437076237,0.9961964610550686,1.0,0.9968579460889697,1.0
illum,2,0.9029270712750124,0.9971886886059202,0.9694063171820737,0.9998346287415247,0.9829667603770464,0.9998346287415247
illum,3,0.7077889862741855,0.9826360178600959,0.8157764180585414,0.9957003472796429,0.859103687779064,0.9980155448982967
illum,4,0.5222424342649248,0.8916818256986936,0.6335372912187862,0.9464197122540102,0.6783529022655862,0.964775921944766
illum,5,0.32975028939970236,0.7469819745328262,0.4164048288407475,0.839424508020506,0.4630395237307756,0.8690259632875806
skew,1,0.5225731767818753,0.927732760046304,0.581445344799074,0.9940466346948901,0.6165040515958327,0.9966925748304944
skew,2,0.5334876798412436,0.9202910534149165,0.6209690755746651,0.9829667603770464,0.6628080039689102,0.9927236646270878
skew,3,0.523565404332727,0.8839093765503555,0.6009591532991566,0.9502232511989416,0.6474284769307095,0.9723829998346287
skew,4,0.5012402844385646,0.8123036216305606,0.5663965602778237,0.897965933520754,0.5976517281296511,0.9282288738217298
skew,5,0.4731271704977675,0.7775756573507524,0.5417562427650074,0.8637340830163718,0.5639159914006946,0.8926740532495452
