degradation,severity,self_R@1,cat_R@1,self_R@5,cat_R@5,self_R@10,cat_R@10
blur,1,0.9960310897965934,0.9993385149660989,0.9983462874152472,1.0,0.9990077724491483,1.0
blur,2,0.9875971556143542,0.9961964610550686,0.9928890358855631,0.9991731437076237,0.9940466346948901,0.9995038862245742
blur,3,0.9603108979659335,0.9897469819745328,0.9775095088473623,0.9976848023813462,0.9818091615677196,0.9990077724491483
blur,4,0.8068463701008765,0.9705639159914007,0.8708450471308087,0.9897469819745328,0.8928394245080205,0.9925582933686126
blur,5,0.5419216140234827,0.9444352571523069,0.650735902100215,0.9813130477922937,0.6874483214817265,0.9856127005126509
jpeg,1,0.9986770299321978,1.0,1.0,1.0,1.0,1.0
jpeg,2,0.9986770299321978,1.0,1.0,1.0,1.0,1.0
jpeg,3,0.9985116586737225,0.9998346287415247,1.0,1.0,1.0,1.0
jpeg,4,0.9978501736398214,0.9995038862245742,0.9996692574830495,1.0,0.9998346287415247,1.0
jpeg,5,0.9960310897965934,0.9991731437076237,0.998842401190673,1.0,0.9993385149660989,1.0
noise,1,0.8012237473127171,0.9482387960972383,0.8528195799570035,0.9798247064660162,0.8705143046138581,0.9849512154787498
noise,2,0.8028774598974698,0.9493963949065652,0.8617496279146685,0.9803208202414421,0.8781213825037208,0.9866049280635025
noise,3,0.8066809988424012,0.9538614188853978,0.8605920291053415,0.9837936166694229,0.8767984124359186,0.98809326938978
noise,4,0.8066809988424012,0.9467504547709608,0.8536464362493799,0.9776748801058376,0.871010418389284,0.9866049280635025
noise,5,0.8085000826856292,0.9502232511989416,0.8586075740036382,0.9793285926905904,0.8754754423681165,0.986274185546552
downres,1,0.9966925748304944,0.9991731437076237,0.9993385149660989,1.0,0.9995038862245742,1.0
downres,2,0.9953696047626922,0.9990077724491483,0.9980155448982967,1.0,0.998842401190673,1.0
downres,3,0.9915660658177609,0.9980155448982967,0.9950388622457417,0.9996692574830495,0.9963618323135439,1.0
downres,4,0.9713907722837771,0.992227550851662,0.9814784190507689,0.998180916156772,0.985116586737225,0.9986770299321978
downres,5,0.8736563585248883,0.9839589879278982,0.920621795931867,0.9966925748304944,0.9358359517115925,0.9991731437076237
illum,1,0.8820902927071275,0.9611377542583099,0.9068959814784191,0.976682652554986,0.9141723168513313,0.9803208202414421
illum,2,0.758227220109145,0.9029270712750124,0.8038696874483214,0.9421200595336531,0.820902927071275,0.9536960476269224
illum,3,0.6141888539771788,0.8126343641475111,0.6725649082189515,0.8810980651562759,0.6962129981809162,0.9057383826690921
illum,4,0.44815611046800063,0.7339176451132793,0.5336530510997188,0.822722010914503,0.5622622788159418,0.8604266578468662
illum,5,0.1668595998015545,0.6027782371423847,0.24193815114933023,0.736728956507359,0.2768314866876137,0.7800562262278816
skew,1,0.9245907061352737,0.9945427484703159,0.9699024309574996,0.9993385149660989,0.9831321316355217,0.9998346287415247
skew,2,0.5822722010914503,0.9826360178600959,0.7249875971556143,0.9930544071440384,0.7792293699355052,0.9948734909872664
skew,3,0.2804696543740698,0.9197949396394907,0.4218620803704316,0.959980155448983,0.4888374400529188,0.9727137423515793
skew,4,0.12518604266578467,0.7833636513973872,0.2171324623780387,0.8548040350587068,0.2581445344799074,0.8721680171986109
skew,5,0.04365801223747313,0.598809326938978,0.09326938978005622,0.7147345791301472,0.12187861749627915,0.7483049446006285
