degradation,severity,self_R@1,cat_R@1,self_R@5,cat_R@5,self_R@10,cat_R@10
blur,1,0.9985116586737225,0.9998346287415247,1.0,1.0,1.0,1.0
blur,2,0.9985116586737225,0.9998346287415247,1.0,1.0,1.0,1.0
blur,3,0.9978501736398214,0.9996692574830495,0.9998346287415247,1.0,0.9998346287415247,1.0
blur,4,0.9961964610550686,0.9995038862245742,0.9995038862245742,1.0,0.9996692574830495,1.0
blur,5,0.9803208202414421,0.9986770299321978,0.9960310897965934,0.9996692574830495,0.9985116586737225,1.0
jpeg,1,0.9986770299321978,1.0,1.0,1.0,1.0,1.0
jpeg,2,0.998842401190673,1.0,1.0,1.0,1.0,1.0
jpeg,3,0.9985116586737225,0.9998346287415247,1.0,1.0,1.0,1.0
jpeg,4,0.9986770299321978,1.0,1.0,1.0,1.0,1.0
jpeg,5,0.9985116586737225,0.9998346287415247,1.0,1.0,1.0,1.0
noise,1,0.9269059037539276,0.9928890358855631,0.977344137588887,0.9991731437076237,0.98809326938978,0.9998346287415247
noise,2,0.9237638498428973,0.992227550851662,0.976682652554986,0.9983462874152472,0.9867702993219778,0.9995038862245742
noise,3,0.924756077393749,0.9942120059533653,0.9763519100380353,0.9990077724491483,0.985116586737225,0.9995038862245742
noise,4,0.9278981313047793,0.9927236646270878,0.9789978501736398,0.9985116586737225,0.9894162394575823,0.9991731437076237
noise,5,0.9260790474615512,0.9917314370762361,0.9776748801058376,0.9991731437076237,0.9877625268728295,0.9996692574830495
downres,1,0.9985116586737225,0.9998346287415247,1.0,1.0,1.0,1.0
downres,2,0.9985116586737225,0.9998346287415247,1.0,1.0,1.0,1.0
downres,3,0.9985116586737225,0.9998346287415247,1.0,1.0,1.0,1.0
downres,4,0.9973540598643955,0.9996692574830495,0.9995038862245742,1.0,0.9996692574830495,1.0
downres,5,0.9935505209194642,0.9986770299321978,0.9975194311228709,0.9996692574830495,0.9978501736398214,0.9998346287415247
illum,1,0.9978501736398214,0.9996692574830495,1.0,1.0,1.0,1.0
illum,2,0.9828013891185712,0.998842401190673,0.9957003472796429,0.9998346287415247,0.9980155448982967,0.9998346287415247
illum,3,0.9446006284107822,0.9914006945592856,0.9753596824871837,0.9983462874152472,0.9842897304448487,0.9990077724491483
illum,4,0.8566231189019349,0.9381511493302463,0.9125186042665785,0.9824706466016206,0.9307094426988589,0.9930544071440384
illum,5,0.6836447825367951,0.8531503224739541,0.7668265255498594,0.9264097899785018,0.7914668430626757,0.9536960476269224
skew,1,0.9469158260294361,0.998180916156772,0.9897469819745328,0.9998346287415247,0.9948734909872664,1.0
skew,2,0.8791136100545726,0.9973540598643955,0.9664296345295188,0.9996692574830495,0.9831321316355217,1.0
skew,3,0.7813791962956839,0.9930544071440384,0.9057383826690921,0.9998346287415247,0.9431122870845047,0.9998346287415247
skew,4,0.633371919960311,0.9694063171820737,0.7777410286092277,0.9938812634364147,0.8318174301306432,0.9980155448982967
skew,5,0.4866876136927402,0.8708450471308087,0.6127005126509013,0.9591532991566066,0.6570200099222755,0.9798247064660162
