degradation,severity,self_R@1,cat_R@1,self_R@5,cat_R@5,self_R@10,cat_R@10
blur,1,0.9985116586737225,0.9998346287415247,1.0,1.0,1.0,1.0
blur,2,0.9965272035720192,0.9996692574830495,0.9998346287415247,1.0,0.9998346287415247,1.0
blur,3,0.9882586406482553,0.9983462874152472,0.9948734909872664,0.9998346287415247,0.9968579460889697,1.0
blur,4,0.9598147841905077,0.9963618323135439,0.9839589879278982,0.998842401190673,0.9887547544236812,0.9995038862245742
blur,5,0.8207375558127997,0.9912353233008103,0.9037539275673888,0.9942120059533653,0.9278981313047793,0.9963618323135439
jpeg,1,0.998842401190673,1.0,1.0,1.0,1.0,1.0
jpeg,2,0.9986770299321978,1.0,1.0,1.0,1.0,1.0
jpeg,3,0.9985116586737225,0.9998346287415247,1.0,1.0,1.0,1.0
jpeg,4,0.9985116586737225,0.9998346287415247,1.0,1.0,1.0,1.0
jpeg,5,0.9985116586737225,0.9998346287415247,1.0,1.0,1.0,1.0
noise,1,0.6828179262444187,0.9899123532330081,0.7939474119398049,0.9986770299321978,0.836447825367951,0.9998346287415247
noise,2,0.6743839920621796,0.9900777244914833,0.784521250206714,0.9991731437076237,0.836447825367951,0.9995038862245742
noise,3,0.6699189680833472,0.9909045807838598,0.7860095915329915,0.9986770299321978,0.8299983462874152,0.9996692574830495
noise,4,0.6798412435918637,0.9902430957499586,0.7937820406813296,0.9991731437076237,0.8384322804696543,0.9996692574830495
noise,5,0.6765338184223582,0.9895816107160575,0.7874979328592691,0.9980155448982967,0.8341326277492972,0.9995038862245742
downres,1,0.998180916156772,0.9998346287415247,1.0,1.0,1.0,1.0
downres,2,0.9985116586737225,0.9998346287415247,1.0,1.0,1.0,1.0
downres,3,0.998180916156772,0.9998346287415247,1.0,1.0,1.0,1.0
downres,4,0.9872664130974037,0.9985116586737225,0.9948734909872664,0.9998346287415247,0.9955349760211675,1.0
downres,5,0.9530345625930213,0.9966925748304944,0.9780056226227881,0.9995038862245742,0.9834628741524724,0.9998346287415247
illum,1,0.9852819579957004,0.998180916156772,0.9935505209194642,0.9995038862245742,0.9978501736398214,1.0
illum,2,0.9475773110633372,0.992227550851662,0.9699024309574996,0.9953696047626922,0.9776748801058376,0.9965272035720192
illum,3,0.8635687117578965,0.9861088142880767,0.9145030593682818,0.9927236646270878,0.9305440714403836,0.9935505209194642
illum,4,0.762361501571027,0.946254340995535,0.8420704481561104,0.9826360178600959,0.8685298495121548,0.9889201256821565
illum,5,0.5339837936166695,0.8731602447494625,0.6535472134942947,0.9566727302794774,0.7048123036216306,0.9746981974532826
skew,1,0.8556308913510832,0.9971886886059202,0.9406317182073756,0.9996692574830495,0.9601455267074582,1.0
skew,2,0.6366793451298164,0.9930544071440384,0.7550851661981147,0.998180916156772,0.8058541425500249,0.9991731437076237
skew,3,0.5308417397056392,0.9818091615677196,0.6294030097569042,0.9935505209194642,0.6743839920621796,0.9955349760211675
skew,4,0.41442037373904417,0.8782867537621961,0.49875971556143545,0.9834628741524724,0.5364643624937986,0.9907392095253845
skew,5,0.2860922771622292,0.6485860757400363,0.35554820572184553,0.8673722507028279,0.39126839755250536,0.9321977840251364
